@timestamp,Duration,Billed Duration,Memory Size,Max Memory Used,Init Duration
2024-05-31 14:53:52.306,42.65,43,512,86,
2024-05-31 14:53:52.282,77.85,78,512,86,
2024-05-31 14:53:52.278,57.43,58,512,86,
2024-05-31 14:53:52.144,45.84,46,512,86,
2024-05-31 14:53:52.136,1908.26,1909,512,86,
2024-05-31 14:53:52.114,62.89,63,512,86,
2024-05-31 14:53:52.105,49.73,50,512,86,
2024-05-31 14:53:52.091,61.09,62,512,86,
2024-05-31 14:53:52.074,46.75,47,512,86,
2024-05-31 14:53:52.043,71.66,72,512,86,
2024-05-31 14:53:52.007,48.03,49,512,86,
2024-05-31 14:53:52.000,55.31,56,512,86,
2024-05-31 14:53:51.957,65.56,66,512,86,
2024-05-31 14:53:51.935,82.58,83,512,86,
2024-05-31 14:53:51.918,95.39,96,512,86,
2024-05-31 14:53:51.887,46.07,47,512,86,
2024-05-31 14:53:51.872,678.63,679,512,86,
2024-05-31 14:53:51.851,47.53,48,512,86,
2024-05-31 14:53:51.827,45.31,46,512,86,
2024-05-31 14:53:51.809,51.12,52,512,85,
2024-05-31 14:53:51.768,40.71,41,512,86,
2024-05-31 14:53:51.731,58.59,59,512,85,
2024-05-31 14:53:51.724,62.00,62,512,86,
2024-05-31 14:53:51.723,73.13,74,512,86,
2024-05-31 14:53:51.709,51.38,52,512,86,
2024-05-31 14:53:51.684,64.92,65,512,85,
2024-05-31 14:53:51.666,50.00,51,512,85,
2024-05-31 14:53:51.608,48.94,49,512,85,
2024-05-31 14:53:51.595,125.83,126,512,85,
2024-05-31 14:53:51.575,45.34,46,512,86,
2024-05-31 14:53:51.513,44.70,45,512,86,
2024-05-31 14:53:51.493,45.84,46,512,85,
2024-05-31 14:53:51.487,75.44,76,512,86,
2024-05-31 14:53:51.487,57.43,58,512,86,
2024-05-31 14:53:51.455,58.27,59,512,86,
2024-05-31 14:53:51.408,48.37,49,512,86,
2024-05-31 14:53:51.376,47.22,48,512,86,
2024-05-31 14:53:51.362,52.63,53,512,86,
2024-05-31 14:53:51.344,48.47,49,512,86,
2024-05-31 14:53:51.342,51.26,52,512,85,
2024-05-31 14:53:51.297,66.27,67,512,86,
2024-05-31 14:53:51.248,43.44,44,512,86,
2024-05-31 14:53:51.248,49.98,50,512,85,
2024-05-31 14:53:51.172,76.94,77,512,86,
2024-05-31 14:53:51.165,48.45,49,512,85,
2024-05-31 14:53:51.123,46.75,47,512,86,
2024-05-31 14:53:51.106,49.39,50,512,85,
2024-05-31 14:53:51.074,47.50,48,512,86,
2024-05-31 14:53:51.052,53.23,54,512,85,
2024-05-31 14:53:51.020,60.30,61,512,86,
2024-05-31 14:53:51.012,78.19,79,512,86,
2024-05-31 14:53:51.004,46.02,47,512,86,
2024-05-31 14:53:50.985,66.03,67,512,85,
2024-05-31 14:53:50.920,44.51,45,512,86,
2024-05-31 14:53:50.911,71.78,72,512,85,
2024-05-31 14:53:50.884,71.92,72,512,86,
2024-05-31 14:53:50.838,53.92,54,512,86,
2024-05-31 14:53:50.818,50.01,51,512,85,
2024-05-31 14:53:50.791,61.15,62,512,86,
2024-05-31 14:53:50.778,61.12,62,512,86,
2024-05-31 14:53:50.762,66.17,67,512,85,
2024-05-31 14:53:50.734,49.26,50,512,86,
2024-05-31 14:53:50.666,52.10,53,512,86,
2024-05-31 14:53:50.659,45.97,46,512,85,
2024-05-31 14:53:50.632,47.37,48,512,86,
2024-05-31 14:53:50.589,45.41,46,512,86,
2024-05-31 14:53:50.587,65.87,66,512,85,
2024-05-31 14:53:50.566,47.08,48,512,86,
2024-05-31 14:53:50.526,50.06,51,512,86,
2024-05-31 14:53:50.520,73.80,74,512,86,
2024-05-31 14:53:50.468,53.32,54,512,86,
2024-05-31 14:53:50.441,46.27,47,512,86,
2024-05-31 14:53:50.395,50.26,51,512,86,
2024-05-31 14:53:50.392,51.48,52,512,86,
2024-05-31 14:53:50.360,44.99,45,512,86,
2024-05-31 14:53:50.329,52.35,53,512,86,
2024-05-31 14:53:50.304,46.52,47,512,86,
2024-05-31 14:53:50.296,61.34,62,512,86,
2024-05-31 14:53:50.269,85.85,86,512,86,
2024-05-31 14:53:50.268,78.94,79,512,85,
2024-05-31 14:53:50.214,51.47,52,512,86,
2024-05-31 14:53:50.202,64.89,65,512,86,
2024-05-31 14:53:50.164,50.09,51,512,86,
2024-05-31 14:53:50.149,57.30,58,512,86,
2024-05-31 14:53:50.147,48.17,49,512,85,
2024-05-31 14:53:50.143,62.34,63,512,86,
2024-05-31 14:53:50.034,58.50,59,512,86,
2024-05-31 14:53:50.005,50.43,51,512,86,
2024-05-31 14:53:49.951,51.60,52,512,86,
2024-05-31 14:53:49.929,67.07,68,512,86,
2024-05-31 14:53:49.914,48.92,49,512,85,
2024-05-31 14:53:49.877,73.00,74,512,86,
2024-05-31 14:53:49.867,55.62,56,512,86,
2024-05-31 14:53:49.848,41.84,42,512,86,
2024-05-31 14:53:49.817,67.68,68,512,85,
2024-05-31 14:53:49.743,58.15,59,512,85,
2024-05-31 14:53:49.724,43.41,44,512,86,
2024-05-31 14:53:49.716,49.01,50,512,86,
2024-05-31 14:53:49.683,50.27,51,512,86,
2024-05-31 14:53:49.677,45.60,46,512,86,
2024-05-31 14:53:49.651,46.06,47,512,86,
2024-05-31 14:53:49.607,50.46,51,512,86,
2024-05-31 14:53:49.569,68.34,69,512,85,
2024-05-31 14:53:49.525,77.28,78,512,86,
2024-05-31 14:53:49.508,50.60,51,512,86,
2024-05-31 14:53:49.496,47.72,48,512,85,
2024-05-31 14:53:49.483,58.33,59,512,85,
2024-05-31 14:53:49.480,66.42,67,512,86,
2024-05-31 14:53:49.410,59.65,60,512,85,
2024-05-31 14:53:49.339,45.85,46,512,85,
2024-05-31 14:53:49.324,53.13,54,512,86,
2024-05-31 14:53:49.306,47.30,48,512,86,
2024-05-31 14:53:49.305,47.73,48,512,85,
2024-05-31 14:53:49.280,47.49,48,512,85,
2024-05-31 14:53:49.254,42.93,43,512,86,
2024-05-31 14:53:49.212,74.42,75,512,85,
2024-05-31 14:53:49.191,47.65,48,512,86,
2024-05-31 14:53:49.151,44.83,45,512,85,
2024-05-31 14:53:49.149,683.21,684,512,86,
2024-05-31 14:53:49.126,61.24,62,512,85,
2024-05-31 14:53:49.081,56.13,57,512,85,
2024-05-31 14:53:49.073,65.98,66,512,86,
2024-05-31 14:53:49.025,47.81,48,512,85,
2024-05-31 14:53:48.998,55.88,56,512,86,
2024-05-31 14:53:48.990,47.20,48,512,85,
2024-05-31 14:53:48.968,62.60,63,512,85,
2024-05-31 14:53:48.906,45.73,46,512,86,
2024-05-31 14:53:48.887,47.58,48,512,85,
2024-05-31 14:53:48.813,52.17,53,512,85,
2024-05-31 14:53:48.812,43.85,44,512,86,
2024-05-31 14:53:48.804,46.74,47,512,85,
2024-05-31 14:53:48.789,53.57,54,512,86,
2024-05-31 14:53:48.781,48.36,49,512,86,
2024-05-31 14:53:48.725,61.48,62,512,86,
2024-05-31 14:53:48.673,48.75,49,512,86,
2024-05-31 14:53:48.634,48.84,49,512,86,
2024-05-31 14:53:48.604,44.07,45,512,86,
2024-05-31 14:53:48.586,55.21,56,512,85,
2024-05-31 14:53:48.553,42.19,43,512,86,
2024-05-31 14:53:48.534,45.99,46,512,86,
2024-05-31 14:53:48.506,850.57,851,512,85,
2024-05-31 14:53:48.469,60.16,61,512,86,
2024-05-31 14:53:48.447,70.22,71,512,86,
2024-05-31 14:53:48.441,1232.20,1233,512,86,
2024-05-31 14:53:48.418,64.46,65,512,85,
2024-05-31 14:53:48.353,47.82,48,512,86,
2024-05-31 14:53:48.305,52.90,53,512,86,
2024-05-31 14:53:48.305,69.03,70,512,85,
2024-05-31 14:53:48.298,41.96,42,512,86,
2024-05-31 14:53:48.261,49.52,50,512,86,
2024-05-31 14:53:48.223,51.54,52,512,84,
2024-05-31 14:53:48.202,49.86,50,512,86,
2024-05-31 14:53:48.190,60.68,61,512,86,
2024-05-31 14:53:48.167,119.19,120,512,84,
2024-05-31 14:53:48.159,76.90,77,512,86,
2024-05-31 14:53:48.120,515.72,516,512,86,
2024-05-31 14:53:48.096,45.21,46,512,86,
2024-05-31 14:53:48.060,58.69,59,512,86,
