@timestamp,Duration,Billed Duration,Memory Size,Max Memory Used,Init Duration
2024-05-31 19:50:53.134,1185.35,1186,512,90,
2024-05-31 19:50:52.702,833.09,834,512,90,
2024-05-31 19:50:52.302,623.50,624,512,89,
2024-05-31 19:50:52.130,45.32,46,512,89,
2024-05-31 19:50:52.089,41.74,42,512,90,
2024-05-31 19:50:52.021,53.03,54,512,90,
2024-05-31 19:50:51.938,59.17,60,512,90,
2024-05-31 19:50:51.925,44.41,45,512,90,
2024-05-31 19:50:51.903,75.30,76,512,89,
2024-05-31 19:50:51.861,51.86,52,512,90,
2024-05-31 19:50:51.856,65.76,66,512,90,
2024-05-31 19:50:51.855,48.47,49,512,90,
2024-05-31 19:50:51.810,63.66,64,512,89,
2024-05-31 19:50:51.725,44.42,45,512,89,
2024-05-31 19:50:51.691,53.18,54,512,90,
2024-05-31 19:50:51.687,46.69,47,512,90,
2024-05-31 19:50:51.678,47.76,48,512,90,
2024-05-31 19:50:51.668,48.25,49,512,89,
2024-05-31 19:50:51.608,46.95,47,512,89,
2024-05-31 19:50:51.563,50.64,51,512,90,
2024-05-31 19:50:51.549,93.56,94,512,89,
2024-05-31 19:50:51.542,45.50,46,512,90,
2024-05-31 19:50:51.522,46.05,47,512,90,
2024-05-31 19:50:51.498,45.08,46,512,90,
2024-05-31 19:50:51.487,59.51,60,512,90,
2024-05-31 19:50:51.451,45.87,46,512,90,
2024-05-31 19:50:51.391,47.13,48,512,90,
2024-05-31 19:50:51.356,56.19,57,512,90,
2024-05-31 19:50:51.349,50.38,51,512,90,
2024-05-31 19:50:51.342,65.47,66,512,89,
2024-05-31 19:50:51.332,50.71,51,512,90,
2024-05-31 19:50:51.301,69.78,70,512,89,
2024-05-31 19:50:51.279,51.47,52,512,90,
2024-05-31 19:50:51.267,62.91,63,512,89,
2024-05-31 19:50:51.229,98.75,99,512,90,
2024-05-31 19:50:51.192,43.81,44,512,89,
2024-05-31 19:50:51.176,49.69,50,512,90,
2024-05-31 19:50:51.162,73.82,74,512,89,
2024-05-31 19:50:51.126,61.36,62,512,89,
2024-05-31 19:50:51.111,88.97,89,512,90,
2024-05-31 19:50:51.096,63.70,64,512,90,
2024-05-31 19:50:51.025,43.51,44,512,90,
2024-05-31 19:50:51.013,48.37,49,512,89,
2024-05-31 19:50:51.013,49.29,50,512,90,
2024-05-31 19:50:50.945,47.81,48,512,90,
2024-05-31 19:50:50.940,47.68,48,512,89,
2024-05-31 19:50:50.935,642.85,643,512,90,
2024-05-31 19:50:50.923,52.10,53,512,89,
2024-05-31 19:50:50.874,46.91,47,512,89,
2024-05-31 19:50:50.833,48.08,49,512,89,
2024-05-31 19:50:50.828,43.73,44,512,90,
2024-05-31 19:50:50.803,45.75,46,512,89,
2024-05-31 19:50:50.774,48.74,49,512,89,
2024-05-31 19:50:50.751,65.04,66,512,89,
2024-05-31 19:50:50.728,42.29,43,512,90,
2024-05-31 19:50:50.676,45.52,46,512,89,
2024-05-31 19:50:50.666,43.60,44,512,90,
2024-05-31 19:50:50.645,68.60,69,512,89,
2024-05-31 19:50:50.621,69.91,70,512,89,
2024-05-31 19:50:50.607,61.85,62,512,90,
2024-05-31 19:50:50.551,48.95,49,512,89,
2024-05-31 19:50:50.537,54.66,55,512,90,
2024-05-31 19:50:50.509,71.70,72,512,89,
2024-05-31 19:50:50.505,46.81,47,512,90,
2024-05-31 19:50:50.470,46.10,47,512,90,
2024-05-31 19:50:50.465,62.20,63,512,89,
2024-05-31 19:50:50.423,47.70,48,512,89,
2024-05-31 19:50:50.396,47.94,48,512,89,
2024-05-31 19:50:50.341,50.37,51,512,89,
2024-05-31 19:50:50.299,60.79,61,512,89,
2024-05-31 19:50:50.285,49.27,50,512,89,
2024-05-31 19:50:50.235,48.62,49,512,90,
2024-05-31 19:50:50.229,73.67,74,512,89,
2024-05-31 19:50:50.225,43.35,44,512,89,
2024-05-31 19:50:50.172,48.10,49,512,89,
2024-05-31 19:50:50.127,81.23,82,512,89,
2024-05-31 19:50:50.126,48.48,49,512,90,
2024-05-31 19:50:50.085,42.76,43,512,89,
2024-05-31 19:50:50.064,64.17,65,512,90,
2024-05-31 19:50:50.020,46.63,47,512,89,
2024-05-31 19:50:50.019,48.12,49,512,89,
2024-05-31 19:50:49.996,42.18,43,512,90,
2024-05-31 19:50:49.970,63.85,64,512,90,
2024-05-31 19:50:49.955,42.81,43,512,89,
2024-05-31 19:50:49.902,1066.70,1067,512,90,
2024-05-31 19:50:49.897,47.65,48,512,89,
2024-05-31 19:50:49.881,63.69,64,512,90,
2024-05-31 19:50:49.830,47.63,48,512,89,
2024-05-31 19:50:49.829,48.25,49,512,89,
2024-05-31 19:50:49.813,44.82,45,512,90,
2024-05-31 19:50:49.768,58.83,59,512,89,
2024-05-31 19:50:49.757,66.55,67,512,90,
2024-05-31 19:50:49.709,52.30,53,512,89,
2024-05-31 19:50:49.675,43.21,44,512,90,
2024-05-31 19:50:49.668,42.31,43,512,89,
2024-05-31 19:50:49.667,71.81,72,512,90,
2024-05-31 19:50:49.621,63.85,64,512,90,
2024-05-31 19:50:49.572,75.72,76,512,90,
2024-05-31 19:50:49.538,45.30,46,512,90,
2024-05-31 19:50:49.505,50.51,51,512,89,
2024-05-31 19:50:49.493,44.03,45,512,89,
2024-05-31 19:50:49.474,45.55,46,512,90,
2024-05-31 19:50:49.423,43.52,44,512,90,
2024-05-31 19:50:49.397,45.29,46,512,89,
2024-05-31 19:50:49.382,62.90,63,512,89,
2024-05-31 19:50:49.348,63.70,64,512,90,
2024-05-31 19:50:49.335,49.04,50,512,89,
2024-05-31 19:50:49.324,76.81,77,512,90,
2024-05-31 19:50:49.304,62.02,63,512,89,
2024-05-31 19:50:49.216,45.33,46,512,89,
2024-05-31 19:50:49.213,63.03,64,512,90,
2024-05-31 19:50:49.173,51.95,52,512,89,
2024-05-31 19:50:49.164,67.42,68,512,89,
2024-05-31 19:50:49.151,59.14,60,512,90,
2024-05-31 19:50:49.113,166.39,167,512,89,
