@timestamp,Duration,Billed Duration,Memory Size,Max Memory Used,Init Duration
2024-06-03 19:16:11.006,1603.59,1604,512,126,
2024-06-03 19:16:10.782,1405.19,1406,512,124,
2024-06-03 19:16:10.652,1349.78,1350,512,122,
2024-06-03 19:16:10.559,1106.82,1107,512,127,
2024-06-03 19:16:10.392,873.48,874,512,125,
2024-06-03 19:16:10.333,528.49,529,512,120,
2024-06-03 19:16:10.332,743.65,744,512,116,
2024-06-03 19:16:10.241,977.41,978,512,128,
2024-06-03 19:16:10.189,553.10,554,512,127,
2024-06-03 19:16:10.153,518.40,519,512,128,
2024-06-03 19:16:10.128,87.64,88,512,124,
2024-06-03 19:16:10.119,501.19,502,512,128,
2024-06-03 19:16:10.119,665.47,666,512,116,
2024-06-03 19:16:10.110,561.34,562,512,125,
2024-06-03 19:16:10.100,614.30,615,512,124,
2024-06-03 19:16:10.089,572.67,573,512,124,
2024-06-03 19:16:10.075,600.96,601,512,125,
2024-06-03 19:16:10.073,565.10,566,512,125,
2024-06-03 19:16:10.056,670.64,671,512,116,
2024-06-03 19:16:10.047,791.37,792,512,128,
2024-06-03 19:16:10.021,673.62,674,512,124,
2024-06-03 19:16:10.011,515.57,516,512,127,
2024-06-03 19:16:09.993,213.08,214,512,126,
2024-06-03 19:16:09.989,630.88,631,512,124,
2024-06-03 19:16:09.988,505.61,506,512,127,
2024-06-03 19:16:09.961,410.58,411,512,128,
2024-06-03 19:16:09.945,697.93,698,512,123,
2024-06-03 19:16:09.937,513.48,514,512,128,
2024-06-03 19:16:09.923,167.74,168,512,127,
2024-06-03 19:16:09.910,617.99,618,512,128,
2024-06-03 19:16:09.904,505.29,506,512,128,
2024-06-03 19:16:09.901,614.10,615,512,118,
2024-06-03 19:16:09.825,203.38,204,512,125,
2024-06-03 19:16:09.772,234.22,235,512,126,
2024-06-03 19:16:09.765,526.43,527,512,120,
2024-06-03 19:16:09.742,513.16,514,512,127,
2024-06-03 19:16:09.737,102.34,103,512,129,
2024-06-03 19:16:09.724,118.53,119,512,114,
2024-06-03 19:16:09.708,205.31,206,512,127,
2024-06-03 19:16:09.697,168.53,169,512,123,
2024-06-03 19:16:09.691,92.74,93,512,128,
2024-06-03 19:16:09.665,75.94,76,512,127,
2024-06-03 19:16:09.664,130.38,131,512,128,
2024-06-03 19:16:09.662,91.07,92,512,102,
2024-06-03 19:16:09.651,184.93,185,512,126,
