@timestamp,Duration,Billed Duration,Memory Size,Max Memory Used,Init Duration
2024-05-30 15:56:53.656,371.85,372,512,150,
2024-05-30 15:56:53.504,462.34,463,512,160,
2024-05-30 15:56:53.497,301.51,302,512,149,
2024-05-30 15:56:53.492,385.24,386,512,150,
2024-05-30 15:56:53.491,482.37,483,512,150,
2024-05-30 15:56:53.372,475.63,476,512,150,
2024-05-30 15:56:53.324,402.21,403,512,149,
2024-05-30 15:56:53.290,431.73,432,512,148,
2024-05-30 15:56:53.284,193.64,194,512,149,
2024-05-30 15:56:53.210,227.00,227,512,149,
2024-05-30 15:56:53.200,422.07,423,512,149,
2024-05-30 15:56:53.163,489.11,490,512,149,
2024-05-30 15:56:53.100,260.69,261,512,150,
2024-05-30 15:56:53.084,208.80,209,512,149,
2024-05-30 15:56:53.057,212.84,213,512,149,
2024-05-30 15:56:53.026,509.70,510,512,160,
2024-05-30 15:56:52.972,254.72,255,512,149,
2024-05-30 15:56:52.913,438.33,439,512,149,
2024-05-30 15:56:52.896,228.74,229,512,150,
2024-05-30 15:56:52.890,355.92,356,512,150,
2024-05-30 15:56:52.885,408.00,409,512,149,
2024-05-30 15:56:52.869,520.67,521,512,149,
2024-05-30 15:56:52.832,468.19,469,512,150,
2024-05-30 15:56:52.813,221.71,222,512,149,
2024-05-30 15:56:52.811,386.74,387,512,148,
2024-05-30 15:56:52.764,455.28,456,512,149,
2024-05-30 15:56:52.680,377.71,378,512,149,
2024-05-30 15:56:52.679,485.78,486,512,147,
2024-05-30 15:56:52.597,355.29,356,512,150,
2024-05-30 15:56:52.584,491.35,492,512,149,
2024-05-30 15:56:52.538,440.21,441,512,148,
2024-05-30 15:56:52.503,614.15,615,512,160,
2024-05-30 15:56:52.433,388.41,389,512,149,
2024-05-30 15:56:52.410,432.20,433,512,147,
2024-05-30 15:56:52.399,262.21,263,512,148,
2024-05-30 15:56:52.360,222.39,223,512,150,
2024-05-30 15:56:52.337,309.43,310,512,149,
2024-05-30 15:56:52.290,448.95,449,512,149,
2024-05-30 15:56:52.259,399.87,400,512,149,
2024-05-30 15:56:52.220,264.14,265,512,149,
2024-05-30 15:56:52.212,433.40,434,512,149,
2024-05-30 15:56:52.160,220.83,221,512,147,
2024-05-30 15:56:52.133,364.59,365,512,148,
2024-05-30 15:56:52.104,464.27,465,512,150,
2024-05-30 15:56:52.068,533.65,534,512,149,
2024-05-30 15:56:52.063,355.50,356,512,148,
2024-05-30 15:56:52.037,350.22,351,512,149,
2024-05-30 15:56:52.007,564.28,565,512,149,
2024-05-30 15:56:52.007,531.50,532,512,150,
2024-05-30 15:56:51.900,553.40,554,512,147,
2024-05-30 15:56:51.895,255.15,256,512,149,
2024-05-30 15:56:51.816,228.43,229,512,149,
2024-05-30 15:56:51.762,451.11,452,512,149,
2024-05-30 15:56:51.667,633.92,634,512,149,
2024-05-30 15:56:51.665,188.49,189,512,148,
2024-05-30 15:56:51.594,304.30,305,512,150,
2024-05-30 15:56:51.577,395.23,396,512,149,
2024-05-30 15:56:51.575,314.38,315,512,149,
2024-05-30 15:56:51.561,179.12,180,512,148,
2024-05-30 15:56:51.529,443.48,444,512,149,
2024-05-30 15:56:51.462,221.83,222,512,150,
2024-05-30 15:56:51.459,322.75,323,512,148,
2024-05-30 15:56:51.451,470.12,471,512,149,
2024-05-30 15:56:51.416,494.25,495,512,149,
2024-05-30 15:56:51.410,380.64,381,512,160,
2024-05-30 15:56:51.353,213.65,214,512,148,
2024-05-30 15:56:51.250,241.86,242,512,149,
2024-05-30 15:56:51.201,392.06,393,512,150,
2024-05-30 15:56:51.192,306.32,307,512,150,
2024-05-30 15:56:51.140,286.99,287,512,149,
2024-05-30 15:56:51.137,358.87,359,512,149,
2024-05-30 15:56:51.067,549.62,550,512,149,
2024-05-30 15:56:51.060,209.72,210,512,148,
2024-05-30 15:56:51.021,380.36,381,512,149,
2024-05-30 15:56:51.008,381.49,382,512,160,
2024-05-30 15:56:50.990,258.52,259,512,149,
2024-05-30 15:56:50.947,518.08,519,512,149,
2024-05-30 15:56:50.939,234.51,235,512,148,
2024-05-30 15:56:50.904,197.73,198,512,149,
2024-05-30 15:56:50.834,210.28,211,512,148,
2024-05-30 15:56:50.831,274.25,275,512,149,
2024-05-30 15:56:50.823,285.64,286,512,150,
2024-05-30 15:56:50.806,427.11,428,512,150,
2024-05-30 15:56:50.710,483.30,484,512,149,
2024-05-30 15:56:50.650,197.04,198,512,148,
2024-05-30 15:56:50.605,398.18,399,512,148,
2024-05-30 15:56:50.592,282.89,283,512,160,
2024-05-30 15:56:50.554,264.12,265,512,149,
2024-05-30 15:56:50.534,306.49,307,512,150,
2024-05-30 15:56:50.487,199.49,200,512,149,
2024-05-30 15:56:50.471,438.62,439,512,149,
2024-05-30 15:56:50.458,299.54,300,512,149,
2024-05-30 15:56:50.399,505.78,506,512,149,
2024-05-30 15:56:50.389,253.33,254,512,148,
2024-05-30 15:56:50.385,492.58,493,512,149,
2024-05-30 15:56:50.305,567.91,568,512,160,
2024-05-30 15:56:50.298,305.13,306,512,150,
2024-05-30 15:56:50.283,193.64,194,512,149,
2024-05-30 15:56:50.248,270.76,271,512,149,
2024-05-30 15:56:50.221,254.79,255,512,149,
2024-05-30 15:56:50.210,232.98,233,512,150,
2024-05-30 15:56:50.189,593.49,594,512,147,
2024-05-30 15:56:50.132,592.89,593,512,149,
2024-05-30 15:56:50.081,299.51,300,512,149,
2024-05-30 15:56:50.077,479.19,480,512,148,
2024-05-30 15:56:50.011,274.31,275,512,149,
2024-05-30 15:56:49.962,270.38,271,512,149,
2024-05-30 15:56:49.933,302.41,303,512,150,
2024-05-30 15:56:49.831,637.56,638,512,149,
2024-05-30 15:56:49.803,449.86,450,512,149,
2024-05-30 15:56:49.701,415.24,416,512,149,
2024-05-30 15:56:49.686,200.60,201,512,149,
2024-05-30 15:56:49.685,459.02,460,512,159,
2024-05-30 15:56:49.662,229.31,230,512,149,
2024-05-30 15:56:49.652,368.58,369,512,150,
2024-05-30 15:56:49.606,229.50,230,512,150,
2024-05-30 15:56:49.526,333.04,334,512,149,
2024-05-30 15:56:49.456,231.51,232,512,149,
2024-05-30 15:56:49.424,397.56,398,512,149,
2024-05-30 15:56:49.371,324.41,325,512,150,
2024-05-30 15:56:49.319,229.93,230,512,149,
2024-05-30 15:56:49.279,393.55,394,512,150,
2024-05-30 15:56:49.277,345.69,346,512,149,
2024-05-30 15:56:49.211,382.91,383,512,149,
2024-05-30 15:56:49.204,227.83,228,512,158,
2024-05-30 15:56:49.179,297.94,298,512,148,
2024-05-30 15:56:49.084,400.91,401,512,149,
2024-05-30 15:56:49.043,251.54,252,512,150,
2024-05-30 15:56:48.989,197.04,198,512,149,
2024-05-30 15:56:48.920,462.90,463,512,149,
2024-05-30 15:56:48.889,398.27,399,512,158,
2024-05-30 15:56:48.851,221.56,222,512,148,
2024-05-30 15:56:48.828,199.47,200,512,150,
2024-05-30 15:56:48.805,227.97,228,512,149,
2024-05-30 15:56:48.754,378.20,379,512,150,
2024-05-30 15:56:48.743,314.64,315,512,149,
2024-05-30 15:56:48.705,202.76,203,512,149,
2024-05-30 15:56:48.570,380.59,381,512,149,
2024-05-30 15:56:48.511,225.95,226,512,148,
2024-05-30 15:56:48.509,445.87,446,512,150,
2024-05-30 15:56:48.493,296.67,297,512,149,
2024-05-30 15:56:48.467,214.19,215,512,158,
2024-05-30 15:56:48.456,211.19,212,512,149,
2024-05-30 15:56:48.439,662.75,663,512,149,
2024-05-30 15:56:48.418,286.19,287,512,149,
2024-05-30 15:56:48.341,248.90,249,512,150,
2024-05-30 15:56:48.213,214.87,215,512,149,
2024-05-30 15:56:48.203,277.64,278,512,158,
2024-05-30 15:56:48.148,366.58,367,512,149,
2024-05-30 15:56:48.130,219.76,220,512,149,
2024-05-30 15:56:48.114,565.31,566,512,149,
2024-05-30 15:56:48.100,404.16,405,512,148,
2024-05-30 15:56:48.065,222.43,223,512,150,
2024-05-30 15:56:47.988,274.13,275,512,149,
2024-05-30 15:56:47.974,297.88,298,512,150,
2024-05-30 15:56:47.855,301.38,302,512,149,
2024-05-30 15:56:47.836,458.26,459,512,150,
2024-05-30 15:56:47.757,382.27,383,512,149,
2024-05-30 15:56:47.750,371.83,372,512,149,
2024-05-30 15:56:47.697,455.41,456,512,149,
2024-05-30 15:56:47.644,214.44,215,512,150,
2024-05-30 15:56:47.555,263.81,264,512,149,
2024-05-30 15:56:47.535,217.72,218,512,149,
2024-05-30 15:56:47.428,250.17,251,512,149,
2024-05-30 15:56:47.426,272.58,273,512,148,
2024-05-30 15:56:47.365,272.00,272,512,150,
2024-05-30 15:56:47.316,366.85,367,512,149,
2024-05-30 15:56:47.300,458.10,459,512,149,
2024-05-30 15:56:47.244,266.02,267,512,149,
2024-05-30 15:56:47.229,229.43,230,512,149,
2024-05-30 15:56:47.219,481.85,482,512,149,
2024-05-30 15:56:47.170,390.89,391,512,149,
2024-05-30 15:56:47.153,250.84,251,512,150,
2024-05-30 15:56:46.972,239.86,240,512,149,
2024-05-30 15:56:46.950,250.69,251,512,149,
2024-05-30 15:56:46.859,271.22,272,512,150,
2024-05-30 15:56:46.849,215.77,216,512,149,
2024-05-30 15:56:46.755,228.07,229,512,149,
2024-05-30 15:56:46.740,258.69,259,512,149,
2024-05-30 15:56:46.699,318.49,319,512,149,
2024-05-30 15:56:46.658,227.40,228,512,149,
2024-05-30 15:56:46.623,283.55,284,512,149,
2024-05-30 15:56:46.528,393.84,394,512,150,
2024-05-30 15:56:46.506,255.65,256,512,149,
2024-05-30 15:56:46.490,209.83,210,512,150,
2024-05-30 15:56:46.455,223.52,224,512,149,
2024-05-30 15:56:46.430,403.54,404,512,148,
2024-05-30 15:56:46.374,408.92,409,512,149,
2024-05-30 15:56:46.350,447.97,448,512,149,
2024-05-30 15:56:46.328,549.21,550,512,149,
2024-05-30 15:56:46.251,255.53,256,512,150,
2024-05-30 15:56:46.212,369.74,370,512,149,
2024-05-30 15:56:46.201,477.94,478,512,149,
2024-05-30 15:56:46.097,290.95,291,512,149,
2024-05-30 15:56:46.019,489.19,490,512,148,
2024-05-30 15:56:45.959,426.18,427,512,149,
2024-05-30 15:56:45.812,236.56,237,512,149,
2024-05-30 15:56:45.800,225.33,226,512,149,
2024-05-30 15:56:45.712,242.24,243,512,149,
2024-05-30 15:56:45.693,219.94,220,512,149,
2024-05-30 15:56:45.652,451.34,452,512,149,
2024-05-30 15:56:45.625,402.21,403,512,150,
2024-05-30 15:56:45.570,433.25,434,512,149,
2024-05-30 15:56:45.567,271.13,272,512,149,
2024-05-30 15:56:45.529,195.54,196,512,149,
2024-05-30 15:56:45.449,223.03,224,512,149,
2024-05-30 15:56:45.397,449.23,450,512,149,
2024-05-30 15:56:45.324,240.21,241,512,149,
2024-05-30 15:56:45.268,404.10,405,512,149,
2024-05-30 15:56:45.190,501.86,502,512,149,
2024-05-30 15:56:45.186,387.71,388,512,149,
2024-05-30 15:56:45.135,363.86,364,512,149,
2024-05-30 15:56:44.865,235.11,236,512,149,
2024-05-30 15:56:44.772,264.77,265,512,149,
2024-05-30 15:56:44.645,217.86,218,512,148,
2024-05-30 15:56:44.634,272.44,273,512,149,
2024-05-30 15:56:44.621,396.25,397,512,149,
2024-05-30 15:56:44.600,421.35,422,512,149,
2024-05-30 15:56:44.574,289.31,290,512,149,
2024-05-30 15:56:44.400,425.90,426,512,148,
2024-05-30 15:56:44.351,242.32,243,512,149,
2024-05-30 15:56:44.316,404.82,405,512,149,
2024-05-30 15:56:44.256,210.13,211,512,149,
2024-05-30 15:56:44.168,384.28,385,512,149,
2024-05-30 15:56:44.147,276.95,277,512,149,
2024-05-30 15:56:44.053,250.71,251,512,149,
2024-05-30 15:56:43.930,420.41,421,512,148,
2024-05-30 15:56:43.921,214.85,215,512,149,
2024-05-30 15:56:43.856,188.04,189,512,149,
2024-05-30 15:56:43.823,325.59,326,512,149,
2024-05-30 15:56:43.683,447.37,448,512,149,
2024-05-30 15:56:43.617,195.07,196,512,149,
2024-05-30 15:56:43.574,210.22,211,512,149,
2024-05-30 15:56:43.535,347.78,348,512,149,
2024-05-30 15:56:43.489,462.21,463,512,149,
2024-05-30 15:56:43.297,211.41,212,512,149,
2024-05-30 15:56:43.228,226.59,227,512,148,
2024-05-30 15:56:43.148,295.30,296,512,149,
2024-05-30 15:56:43.065,281.17,282,512,149,
2024-05-30 15:56:43.057,257.38,258,512,149,
2024-05-30 15:56:42.964,497.22,498,512,148,
2024-05-30 15:56:42.848,205.38,206,512,149,
2024-05-30 15:56:42.802,535.87,536,512,149,
2024-05-30 15:56:42.785,219.75,220,512,149,
2024-05-30 15:56:42.715,366.81,367,512,149,
2024-05-30 15:56:42.645,226.30,227,512,148,
2024-05-30 15:56:42.443,300.23,301,512,148,
2024-05-30 15:56:42.399,296.21,297,512,148,
2024-05-30 15:56:42.320,269.55,270,512,149,
2024-05-30 15:56:42.235,240.60,241,512,149,
2024-05-30 15:56:42.132,265.68,266,512,148,
2024-05-30 15:56:42.105,465.32,466,512,149,
2024-05-30 15:56:42.033,520.37,521,512,149,
2024-05-30 15:56:42.015,209.80,210,512,148,
2024-05-30 15:56:41.916,471.95,472,512,149,
2024-05-30 15:56:41.828,226.38,227,512,148,
2024-05-30 15:56:41.781,290.35,291,512,148,
2024-05-30 15:56:41.618,244.03,245,512,149,
2024-05-30 15:56:41.584,385.21,386,512,148,
2024-05-30 15:56:41.507,458.45,459,512,149,
2024-05-30 15:56:41.484,495.05,496,512,148,
2024-05-30 15:56:41.452,210.86,211,512,149,
2024-05-30 15:56:41.382,229.22,230,512,149,
2024-05-30 15:56:41.357,645.04,646,512,149,
2024-05-30 15:56:41.058,306.52,307,512,149,
2024-05-30 15:56:41.057,467.91,468,512,148,
2024-05-30 15:56:41.031,246.74,247,512,149,
2024-05-30 15:56:40.807,294.63,295,512,148,
2024-05-30 15:56:40.755,443.18,444,512,149,
2024-05-30 15:56:40.701,227.75,228,512,149,
2024-05-30 15:56:40.638,211.20,212,512,149,
2024-05-30 15:56:40.630,370.53,371,512,149,
2024-05-30 15:56:40.559,408.32,409,512,148,
2024-05-30 15:56:40.549,373.38,374,512,149,
2024-05-30 15:56:40.502,411.44,412,512,148,
2024-05-30 15:56:40.445,466.48,467,512,149,
2024-05-30 15:56:40.224,302.52,303,512,149,
2024-05-30 15:56:40.173,417.57,418,512,149,
2024-05-30 15:56:40.153,307.50,308,512,149,
2024-05-30 15:56:40.063,287.54,288,512,148,
2024-05-30 15:56:39.937,295.46,296,512,149,
2024-05-30 15:56:39.930,465.49,466,512,148,
2024-05-30 15:56:39.886,292.32,293,512,149,
2024-05-30 15:56:39.795,490.68,491,512,149,
2024-05-30 15:56:39.626,211.90,212,512,149,
2024-05-30 15:56:39.587,231.70,232,512,149,
2024-05-30 15:56:39.580,278.65,279,512,149,
2024-05-30 15:56:39.575,334.69,335,512,148,
2024-05-30 15:56:39.344,251.07,252,512,149,
2024-05-30 15:56:39.343,364.31,365,512,149,
2024-05-30 15:56:39.287,232.72,233,512,149,
2024-05-30 15:56:39.286,381.19,382,512,149,
2024-05-30 15:56:39.248,378.07,379,512,148,
2024-05-30 15:56:39.198,398.73,399,512,148,
2024-05-30 15:56:39.056,387.68,388,512,149,
2024-05-30 15:56:39.001,219.82,220,512,149,
2024-05-30 15:56:38.983,465.02,466,512,149,
2024-05-30 15:56:38.977,202.85,203,512,149,
2024-05-30 15:56:38.929,212.78,213,512,149,
2024-05-30 15:56:38.844,733.14,734,512,148,
2024-05-30 15:56:38.839,375.33,376,512,149,
