@timestamp,Duration,Billed Duration,Memory Size,Max Memory Used,Init Duration
2024-05-31 19:12:33.966,1.67,2,512,82,
2024-05-31 19:12:33.914,2.06,3,512,82,
2024-05-31 19:12:33.859,1.69,2,512,82,
2024-05-31 19:12:33.827,1.72,2,512,82,
2024-05-31 19:12:33.811,1.69,2,512,82,
2024-05-31 19:12:33.787,1.53,2,512,82,
2024-05-31 19:12:33.781,2.24,3,512,82,
2024-05-31 19:12:33.729,1.72,2,512,82,
2024-05-31 19:12:33.708,1.73,2,512,82,
2024-05-31 19:12:33.694,1.66,2,512,82,
2024-05-31 19:12:33.671,1.70,2,512,82,
2024-05-31 19:12:33.668,1.51,2,512,82,
2024-05-31 19:12:33.609,1.89,2,512,82,
2024-05-31 19:12:33.606,1.61,2,512,82,
2024-05-31 19:12:33.592,1.99,2,512,82,
2024-05-31 19:12:33.565,5.30,6,512,82,
2024-05-31 19:12:33.531,1.50,2,512,82,
2024-05-31 19:12:33.526,1.88,2,512,82,
2024-05-31 19:12:33.522,1.37,2,512,82,
2024-05-31 19:12:33.469,1.45,2,512,82,
2024-05-31 19:12:33.465,1.62,2,512,82,
2024-05-31 19:12:33.436,1.67,2,512,82,
2024-05-31 19:12:33.415,1.70,2,512,82,
2024-05-31 19:12:33.415,1.89,2,512,82,
2024-05-31 19:12:33.386,1.45,2,512,82,
2024-05-31 19:12:33.385,1.68,2,512,83,
2024-05-31 19:12:33.382,1.89,2,512,82,
2024-05-31 19:12:33.338,2.64,3,512,82,
2024-05-31 19:12:33.315,1.54,2,512,82,
2024-05-31 19:12:33.303,2.08,3,512,82,
2024-05-31 19:12:33.292,1.75,2,512,82,
2024-05-31 19:12:33.256,1.87,2,512,82,
2024-05-31 19:12:33.252,2.98,3,512,83,
2024-05-31 19:12:33.194,1.48,2,512,83,
2024-05-31 19:12:33.193,1.62,2,512,82,
2024-05-31 19:12:33.167,1.78,2,512,82,
2024-05-31 19:12:33.146,1.68,2,512,82,
2024-05-31 19:12:33.141,1.71,2,512,83,
2024-05-31 19:12:33.114,1.68,2,512,83,
2024-05-31 19:12:33.110,1.56,2,512,82,
2024-05-31 19:12:33.054,1.54,2,512,82,
2024-05-31 19:12:33.045,1.69,2,512,82,
2024-05-31 19:12:33.044,1.88,2,512,83,
2024-05-31 19:12:33.007,2.14,3,512,83,
2024-05-31 19:12:33.006,1.69,2,512,82,
2024-05-31 19:12:32.968,1.80,2,512,82,
2024-05-31 19:12:32.964,3.01,4,512,83,
2024-05-31 19:12:32.924,1.55,2,512,83,
2024-05-31 19:12:32.921,1.73,2,512,82,
2024-05-31 19:12:32.907,1.65,2,512,82,
2024-05-31 19:12:32.862,1.86,2,512,82,
2024-05-31 19:12:32.858,1.79,2,512,83,
2024-05-31 19:12:32.808,2.05,3,512,83,
2024-05-31 19:12:32.787,1.72,2,512,83,
2024-05-31 19:12:32.785,1.78,2,512,82,
2024-05-31 19:12:32.756,1.61,2,512,82,
2024-05-31 19:12:32.753,1.49,2,512,83,
2024-05-31 19:12:32.712,1.81,2,512,83,
2024-05-31 19:12:32.710,1.53,2,512,82,
2024-05-31 19:12:32.689,1.70,2,512,82,
2024-05-31 19:12:32.669,2.85,3,512,82,
2024-05-31 19:12:32.667,1.74,2,512,83,
2024-05-31 19:12:32.642,1.50,2,512,83,
2024-05-31 19:12:32.641,2.13,3,512,81,
2024-05-31 19:12:32.580,1.75,2,512,81,
2024-05-31 19:12:32.570,2.33,3,512,81,
2024-05-31 19:12:32.533,1.75,2,512,81,
2024-05-31 19:12:32.526,1.94,2,512,81,
2024-05-31 19:12:32.482,1.66,2,512,81,
2024-05-31 19:12:32.481,1.62,2,512,83,
2024-05-31 19:12:32.480,1.36,2,512,82,
2024-05-31 19:12:32.445,1.43,2,512,82,
2024-05-31 19:12:32.431,1.41,2,512,82,
2024-05-31 19:12:32.428,1.85,2,512,83,
2024-05-31 19:12:32.384,1.58,2,512,83,
2024-05-31 19:12:32.376,1.74,2,512,83,
2024-05-31 19:12:32.335,1.80,2,512,83,
2024-05-31 19:12:32.333,1.77,2,512,82,
2024-05-31 19:12:32.293,1.49,2,512,82,
2024-05-31 19:12:32.282,1.50,2,512,82,
2024-05-31 19:12:32.243,1.46,2,512,82,
2024-05-31 19:12:32.236,1.77,2,512,82,
2024-05-31 19:12:32.196,1.52,2,512,82,
2024-05-31 19:12:32.192,1.84,2,512,83,
2024-05-31 19:12:32.167,1.58,2,512,83,
2024-05-31 19:12:32.152,2.42,3,512,83,
2024-05-31 19:12:32.149,1.57,2,512,82,
2024-05-31 19:12:32.116,1.43,2,512,82,
2024-05-31 19:12:32.100,1.73,2,512,82,
2024-05-31 19:12:32.060,1.43,2,512,82,
2024-05-31 19:12:32.057,1.56,2,512,83,
2024-05-31 19:12:32.000,1.55,2,512,82,
2024-05-31 19:12:32.000,1.61,2,512,83,
2024-05-31 19:12:31.990,1.76,2,512,83,
2024-05-31 19:12:31.962,1.73,2,512,83,
2024-05-31 19:12:31.954,1.68,2,512,82,
2024-05-31 19:12:31.937,1.51,2,512,83,
2024-05-31 19:12:31.915,1.49,2,512,83,
2024-05-31 19:12:31.868,1.61,2,512,83,
2024-05-31 19:12:31.852,1.73,2,512,83,
2024-05-31 19:12:31.849,1.43,2,512,82,
2024-05-31 19:12:31.834,28.05,29,512,82,
2024-05-31 19:12:31.808,1.65,2,512,83,
2024-05-31 19:12:31.763,1.60,2,512,82,
2024-05-31 19:12:31.747,1.74,2,512,82,
2024-05-31 19:12:31.697,1.36,2,512,82,
2024-05-31 19:12:31.691,1.47,2,512,82,
2024-05-31 19:12:31.667,1.34,2,512,82,
2024-05-31 19:12:31.659,1.55,2,512,82,
2024-05-31 19:12:31.649,1.92,2,512,82,
2024-05-31 19:12:31.634,1.65,2,512,82,
2024-05-31 19:12:31.597,1.48,2,512,82,
2024-05-31 19:12:31.575,1.60,2,512,82,
2024-05-31 19:12:31.544,1.57,2,512,82,
2024-05-31 19:12:31.543,1.86,2,512,83,
2024-05-31 19:12:31.517,1.77,2,512,83,
2024-05-31 19:12:31.489,1.76,2,512,83,
2024-05-31 19:12:31.470,1.60,2,512,83,
2024-05-31 19:12:31.423,1.55,2,512,83,
2024-05-31 19:12:31.399,1.68,2,512,83,
2024-05-31 19:12:31.398,1.84,2,512,82,
2024-05-31 19:12:31.375,1.66,2,512,82,
2024-05-31 19:12:31.372,1.59,2,512,83,
2024-05-31 19:12:31.345,1.99,2,512,83,
2024-05-31 19:12:31.303,1.79,2,512,83,
2024-05-31 19:12:31.301,1.78,2,512,82,
2024-05-31 19:12:31.264,1.53,2,512,82,
2024-05-31 19:12:31.237,1.47,2,512,82,
2024-05-31 19:12:31.235,1.78,2,512,83,
2024-05-31 19:12:31.216,1.90,2,512,83,
2024-05-31 19:12:31.199,1.95,2,512,83,
2024-05-31 19:12:31.133,1.57,2,512,83,
2024-05-31 19:12:31.132,1.48,2,512,82,
2024-05-31 19:12:31.102,1.55,2,512,82,
2024-05-31 19:12:31.079,1.58,2,512,82,
2024-05-31 19:12:31.076,1.62,2,512,83,
2024-05-31 19:12:31.052,2.56,3,512,83,
2024-05-31 19:12:31.031,1.72,2,512,83,
2024-05-31 19:12:31.004,2.02,3,512,83,
2024-05-31 19:12:30.986,10.64,11,512,83,
2024-05-31 19:12:30.975,1.50,2,512,82,
2024-05-31 19:12:30.962,1.95,2,512,82,
2024-05-31 19:12:30.915,1.19,2,512,82,
2024-05-31 19:12:30.910,1.68,2,512,82,
2024-05-31 19:12:30.863,1.62,2,512,82,
2024-05-31 19:12:30.849,1.57,2,512,82,
2024-05-31 19:12:30.816,1.58,2,512,82,
2024-05-31 19:12:30.810,1.30,2,512,82,
2024-05-31 19:12:30.806,1.57,2,512,83,
2024-05-31 19:12:30.796,1.49,2,512,82,
2024-05-31 19:12:30.785,1.70,2,512,83,
2024-05-31 19:12:30.770,1.36,2,512,83,
2024-05-31 19:12:30.765,2.34,3,512,83,
2024-05-31 19:12:30.748,1.77,2,512,83,
2024-05-31 19:12:30.702,1.69,2,512,83,
2024-05-31 19:12:30.630,1.72,2,512,83,
2024-05-31 19:12:30.592,1.66,2,512,83,
2024-05-31 19:12:30.578,1.64,2,512,83,
2024-05-31 19:12:30.537,1.70,2,512,83,
2024-05-31 19:12:30.532,1.45,2,512,82,
2024-05-31 19:12:30.513,1.49,2,512,82,
2024-05-31 19:12:30.487,1.63,2,512,82,
2024-05-31 19:12:30.469,1.60,2,512,82,
2024-05-31 19:12:30.442,1.43,2,512,82,
2024-05-31 19:12:30.435,1.80,2,512,83,
2024-05-31 19:12:30.381,1.75,2,512,83,
2024-05-31 19:12:30.371,1.65,2,512,83,
2024-05-31 19:12:30.369,1.49,2,512,82,
2024-05-31 19:12:30.312,1.49,2,512,82,
2024-05-31 19:12:30.293,1.62,2,512,82,
2024-05-31 19:12:30.259,1.49,2,512,82,
2024-05-31 19:12:30.245,1.61,2,512,82,
2024-05-31 19:12:30.234,1.68,2,512,82,
2024-05-31 19:12:30.226,1.56,2,512,82,
2024-05-31 19:12:30.203,1.40,2,512,82,
2024-05-31 19:12:30.143,1.51,2,512,82,
2024-05-31 19:12:30.135,1.62,2,512,82,
2024-05-31 19:12:30.104,1.34,2,512,82,
2024-05-31 19:12:30.094,1.53,2,512,82,
2024-05-31 19:12:30.083,1.67,2,512,82,
2024-05-31 19:12:30.036,1.63,2,512,82,
2024-05-31 19:12:30.033,1.54,2,512,83,
2024-05-31 19:12:29.977,1.97,2,512,83,
2024-05-31 19:12:29.965,2.79,3,512,83,
2024-05-31 19:12:29.946,1.89,2,512,83,
2024-05-31 19:12:29.930,2.27,3,512,83,
2024-05-31 19:12:29.914,1.63,2,512,83,
2024-05-31 19:12:29.886,1.64,2,512,83,
2024-05-31 19:12:29.880,1.81,2,512,83,
2024-05-31 19:12:29.808,1.97,2,512,83,
2024-05-31 19:12:29.807,1.73,2,512,82,
2024-05-31 19:12:29.761,1.99,2,512,82,
2024-05-31 19:12:29.756,1.64,2,512,83,
2024-05-31 19:12:29.741,1.66,2,512,83,
2024-05-31 19:12:29.706,1.73,2,512,82,
2024-05-31 19:12:29.706,2.27,3,512,83,
2024-05-31 19:12:29.662,1.54,2,512,83,
