@timestamp,Duration,Billed Duration,Memory Size,Max Memory Used,Init Duration
2024-05-31 19:38:25.258,7.54,8,512,80,
2024-05-31 19:38:25.215,8.32,9,512,80,
2024-05-31 19:38:25.212,7.61,8,512,81,
2024-05-31 19:38:25.171,6.09,7,512,81,
2024-05-31 19:38:25.170,7.53,8,512,80,
2024-05-31 19:38:25.161,6.61,7,512,81,
2024-05-31 19:38:25.140,14.56,15,512,81,
2024-05-31 19:38:25.128,5.97,6,512,80,
2024-05-31 19:38:25.122,19.62,20,512,81,
2024-05-31 19:38:25.092,6.75,7,512,81,
2024-05-31 19:38:25.090,7.55,8,512,80,
2024-05-31 19:38:25.070,5.20,6,512,81,
2024-05-31 19:38:25.070,7.35,8,512,80,
2024-05-31 19:38:25.052,7.74,8,512,80,
2024-05-31 19:38:25.049,6.91,7,512,81,
2024-05-31 19:38:25.033,7.43,8,512,81,
2024-05-31 19:38:25.029,7.52,8,512,80,
2024-05-31 19:38:25.020,10.92,11,512,81,
2024-05-31 19:38:25.009,7.04,8,512,80,
2024-05-31 19:38:25.007,8.02,9,512,81,
2024-05-31 19:38:25.001,9.00,10,512,81,
2024-05-31 19:38:24.990,10.22,11,512,81,
2024-05-31 19:38:24.982,8.60,9,512,81,
2024-05-31 19:38:24.975,8.04,9,512,81,
2024-05-31 19:38:24.969,7.17,8,512,81,
2024-05-31 19:38:24.967,6.08,7,512,80,
2024-05-31 19:38:24.963,8.00,8,512,80,
2024-05-31 19:38:24.952,7.86,8,512,80,
2024-05-31 19:38:24.948,7.35,8,512,80,
2024-05-31 19:38:24.944,7.03,8,512,81,
2024-05-31 19:38:24.932,7.51,8,512,81,
2024-05-31 19:38:24.930,7.54,8,512,80,
2024-05-31 19:38:24.927,5.74,6,512,80,
2024-05-31 19:38:24.924,5.66,6,512,81,
2024-05-31 19:38:24.914,7.44,8,512,80,
2024-05-31 19:38:24.906,6.49,7,512,81,
2024-05-31 19:38:24.897,6.76,7,512,80,
2024-05-31 19:38:24.891,8.00,8,512,81,
2024-05-31 19:38:24.889,6.57,7,512,81,
2024-05-31 19:38:24.888,7.46,8,512,80,
2024-05-31 19:38:24.876,5.56,6,512,80,
2024-05-31 19:38:24.866,6.94,7,512,81,
2024-05-31 19:38:24.859,7.69,8,512,80,
2024-05-31 19:38:24.853,5.52,6,512,81,
2024-05-31 19:38:24.849,8.22,9,512,81,
2024-05-31 19:38:24.839,12.24,13,512,81,
2024-05-31 19:38:24.835,7.17,8,512,81,
2024-05-31 19:38:24.826,11.52,12,512,80,
2024-05-31 19:38:24.817,9.49,10,512,81,
2024-05-31 19:38:24.810,6.97,7,512,81,
2024-05-31 19:38:24.810,7.94,8,512,80,
2024-05-31 19:38:24.808,7.04,8,512,80,
2024-05-31 19:38:24.795,7.23,8,512,80,
